trip_type,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_hov,N_HB_K12_All_hov,0.05395952475371577,0.01514172611207978,3.563631012363108,3.7e-4
N_HB_K12_All_sov,N_HB_K12_All_sov,0.05520845288458617,0.024493645050479237,2.2539908931809225,0.02421
N_HB_OD_Long_sov,N_HB_OD_All_sov,0.07895672156334714,0.010993331462874997,7.182237871202896,0
N_HB_OD_Short_sov,N_HB_OD_All_sov,0.07895672156334714,0.010993331462874997,7.182237871202896,0
N_HB_OD_Long_hov,N_HB_OD_Long_hov,0.16626580529333962,0.01238850812958559,13.420970754038759,0
N_HB_OD_Short_hov,N_HB_OD_Short_hov,0.402032510330676,0.01701852010354563,23.62323562122871,0
N_HB_OME_All_hov,N_HB_OME_All_hov,0.5231748323958757,0.009487089466548623,55.14597856809347,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.033650441671700206,0.012318949216298777,2.7315999993878104,0.00631
N_HB_OMED_All_auto_pay,N_HB_OMED_All_auto_pay,0.7629510883994958,0.20125943507093186,3.790883583324187,1.5e-4
N_HB_OMED_All_hov,N_HB_OMED_All_hov,0.26942891349150233,0.03211996303625876,8.388207458002249,0
