Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,0.927,0,0,1.018,-0.494
2,Raleigh,0.84,0.622,0,0.51,-0.068
3,Cary,0.84,0.429,0.336,0.345,-0.088
4,Garner,0.897,0,0.645,-0.247,-0.389
5,Durham,0.841,0.63,-0.443,0.725,-0.01
6,ChapelHill,0.87,0.686,0,0.273,-0.055
7,SouthernDurham,0.93,0,0.45,0.733,-0.102
81,Northwest,0.941,0,0,-3.217,-0.432
82,Northeast,0.857,0.355,0,-0.513,-0.184
83,Southeast,0.866,0,0,-1.379,-0.229
84,South,0.828,0,0,-0.799,-0.159
85,Southwest,0.859,1.07,0,-2.134,-0.532
