Expression,Segment,Coefficient,Description
se.nhb_walkbike_size.D,,0.519,Size term
skim.[Length (skim)],,-0.497,
skim.[Length (skim)] > 1,,-2.42,Destination more than a mile away
IntraCluster.IC,,0.539,Intra Cluster Dummy
IntraCluster.IZ,,1.16,Intra Zonal Dummy
se.EmpDensity.D / 1000,,0.00108,Total Emp Density
se.access_walk.D,v0,0.157,Access Walk
se.Cluster.D = 1,,-0.74,Park Cluster ASC
se.Cluster.D = 5,,-1.73,Durham Cluster ASC
se.Cluster.D = 6,,-1.15,Chapel Hill Cluster ASC
se.Cluster.D = 7,,-1.41,Southern Durham Cluster ASC
se.Cluster.D = 82,,1.15,Other NE Cluster ASC
se.Cluster.D = 83,,-1.37,Other SE Cluster ASC
se.Cluster.D = 85,,1.31,Other SW Cluster ASC
