term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_Long_auto,0.02245,0.003863358,5.812127357,0
N_HB_OD_Long_hov3,N_HB_OD_Long_auto,0.02245,0.003863358,5.812127357,0
N_HB_OD_Long_sov,N_HB_OD_Long_auto,0.02245,0.003863358,5.812127357,0
N_HB_OD_Short_hov2,N_HB_OD_Short_hov,0.12714,0.007097562,17.91379237,0
N_HB_OD_Short_hov3,N_HB_OD_Short_hov,0.12714,0.007097562,17.91379237,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.15677,0.008073367,19.41838442,0
N_HB_OMED_All_hov2,N_HB_OMED_All_hov,0.09986,0.014721196,6.783545304,0
N_HB_OMED_All_hov3,N_HB_OMED_All_hov,0.09986,0.014721196,6.783545304,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.01113,0.005036206,2.209857737,0.02713
N_HB_OME_All_hov2,N_HB_OME_All_hov,0.01176,0.003960526,2.968857875,0.00299
N_HB_OME_All_hov3,N_HB_OME_All_hov,0.01176,0.003960526,2.968857875,0.00299
alpha,NA,0.06433,0.285570426,-14.81981434,0
gamma,NA,1.3056,0.135311345,9.648895219,0
r_sq,NA,0.34212,NA,NA,NA
